2026-06-23T13:08:31.271791+00:00 HOLD: No meaningful orders after tiny-churn filter; mode=live; export=2026-06-23T13:08:25+00:00; candle=2026-06-23T12:45:00+00:00
2026-06-23T18:47:58.466348+00:00 WRITE_SPLIT: Writing split proposed orders: SELL XAUUSD 1.28 as 2 capped chunks; mode=live; export=2026-06-23T18:47:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:53:38.442164+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:53:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:54:08.561229+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:53:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:54:38.696372+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:54:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:55:08.830352+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:54:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:55:38.944812+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:55:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:56:09.067899+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:56:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:56:39.195901+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:56:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:57:09.312752+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:57:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:57:39.440849+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:57:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:58:09.573007+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:58:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:58:39.690448+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:58:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:59:09.802395+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:59:08+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T18:59:39.937342+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:30:00+00:00; mode=live; export=2026-06-23T18:59:38+00:00; candle=2026-06-23T18:30:00+00:00
2026-06-23T19:00:10.058350+00:00 WRITE_SPLIT: Writing split proposed orders: SELL USDCHF 7.90 as 8 capped chunks; mode=live; export=2026-06-23T19:00:08+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:00:40.176051+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:00:38+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:02:44.945044+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:02:16+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:03:15.073380+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:02:46+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:03:45.186180+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:03:16+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:04:15.316357+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:03:46+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:04:45.440865+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:04:16+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:05:15.562251+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:04:46+00:00; candle=2026-06-23T18:45:00+00:00
2026-06-23T19:05:45.690184+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T18:45:00+00:00; mode=live; export=2026-06-23T19:05:16+00:00; candle=2026-06-23T18:45:00+00:00
