2026-06-23T19:58:00.236875+00:00 WRITE_SPLIT: Writing split proposed orders: SELL USDCAD 0.95; BUY USDCHF 0.95; BUY USDJPY 6.59 as 9 capped chunks; mode=live; export=2026-06-23T19:57:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:58:30.359728+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:58:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:59:00.481390+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:58:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:59:30.605087+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:59:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T20:00:00.733602+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:59:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T20:00:30.874596+00:00 WRITE_SPLIT: Writing split proposed orders: SELL USDCHF 1.78; SELL USDJPY 6.59 as 9 capped chunks; mode=live; export=2026-06-23T20:00:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:01:01.005006+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:00:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:01:31.144229+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:01:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:02:01.281964+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:01:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:02:31.426909+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:02:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:03:01.563818+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:02:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:03:31.704298+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:03:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:04:01.841373+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:03:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:04:31.973897+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:04:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:05:02.091737+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:04:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:05:32.231700+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:05:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:06:02.368924+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:05:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:06:32.502883+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:06:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:07:02.640898+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:06:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:07:32.776117+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:07:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:08:02.911841+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:07:50+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:08:33.044892+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:08:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:09:03.179933+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:08:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:09:33.320384+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:09:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:10:03.443364+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:09:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:10:33.578462+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:10:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:11:03.710387+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:10:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:11:33.842556+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:11:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:12:03.976068+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:11:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:12:34.088789+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:12:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:13:04.221803+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:12:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:13:34.358127+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:13:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:14:04.476910+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:13:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:14:34.630685+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:14:21+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:15:04.769016+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:45:00+00:00; mode=live; export=2026-06-23T20:14:51+00:00; candle=2026-06-23T19:45:00+00:00
2026-06-23T20:15:34.898005+00:00 WRITE_SPLIT: Writing split proposed orders: BUY EURGBP 3.25; BUY USDCHF 1.78; SELL USDJPY 6.59 as 13 capped chunks; mode=live; export=2026-06-23T20:15:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:16:05.031239+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:15:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:16:35.159844+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:16:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:17:05.277278+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:16:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:17:35.402246+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:17:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:18:05.539887+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:17:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:18:35.677218+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:18:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:19:05.809896+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:18:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:19:35.947792+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:19:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:20:06.083168+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:19:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:20:36.218244+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:20:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:21:06.343915+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:20:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:21:36.483567+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:21:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:22:06.621813+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:21:50+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:22:36.755453+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:22:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:23:06.890354+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:22:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:23:37.027742+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:23:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:24:07.157698+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:23:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:24:37.295113+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:24:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:25:07.432615+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:24:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:25:37.543680+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:25:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:26:07.680652+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:25:51+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:26:37.817778+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:26:21+00:00; candle=2026-06-23T20:00:00+00:00
2026-06-23T20:27:07.956895+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:00:00+00:00; mode=live; export=2026-06-23T20:26:51+00:00; candle=2026-06-23T20:00:00+00:00
