2026-06-23T19:48:09.853813+00:00 WRITE: Writing proposed orders: SELL USDCAD 1.00; SELL USDCAD 1.00; SELL USDCAD 1.00; mode=live; export=2026-06-23T19:47:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:48:39.991368+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:48:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:49:10.127363+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:48:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:49:40.256296+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:49:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:50:10.379919+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:49:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:50:40.510378+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:50:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:51:10.645473+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:50:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:51:40.782943+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:51:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:52:10.910525+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:51:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:52:41.047791+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:52:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:53:11.168161+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:52:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:53:41.298653+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:53:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:54:11.418597+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:53:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:54:41.547521+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:54:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:55:11.661879+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:54:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:55:41.794039+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:55:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:55:45.111516+00:00 RISK_BLOCKED: projected largest symbol share 100.0% exceeds 85.0%; projected net directional share 100.0% exceeds 90.0%; mode=live; export=2026-06-23T19:55:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:56:11.926940+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:55:51+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:56:42.044850+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:56:21+00:00; candle=2026-06-23T19:30:00+00:00
2026-06-23T19:57:12.176263+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T19:30:00+00:00; mode=live; export=2026-06-23T19:56:51+00:00; candle=2026-06-23T19:30:00+00:00
