2026-06-24T11:52:06.102071+00:00 WRITE_SPLIT: Writing split proposed orders: SELL XAUUSD 20.22 as 21 capped chunks; mode=live; export=2026-06-24T12:51:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:52:36.181885+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:52:26+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:53:06.268089+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:52:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:53:36.366655+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:53:26+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:54:06.465827+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:53:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:54:36.560660+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:54:26+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:55:08.404372+00:00 WRITE_SPLIT: Writing split proposed orders: SELL USDCAD 40.91; SELL USDCHF 32.16; BUY USDJPY 10.00 as 84 capped chunks; mode=live; export=2026-06-24T12:54:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:55:38.486008+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:55:26+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:56:08.580178+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:55:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:56:38.673793+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:56:26+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:57:20.400883+00:00 WRITE_SPLIT: Writing split proposed orders: BUY USDCAD 40.93; BUY USDCHF 32.18; BUY USDJPY 58.21; SELL XAUUSD 20.23 as 154 capped chunks; mode=live; export=2026-06-24T12:56:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:57:50.493800+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:57:26+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:58:20.586889+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:30:00+00:00; mode=live; export=2026-06-24T12:57:56+00:00; candle=2026-06-24T12:30:00+00:00
2026-06-24T11:58:51.348128+00:00 WRITE: Writing proposed orders: BUY USDCAD 0.40; BUY USDCHF 0.40; BUY USDJPY 0.68; SELL XAUUSD 0.20; mode=live; export=2026-06-24T12:58:26+00:00; candle=2026-06-24T12:30:00+00:00
