2026-06-23T20:33:43.328818+00:00 HOLD: No meaningful orders after tiny-churn filter; mode=live; export=2026-06-23T20:33:21+00:00; candle=2026-06-23T20:25:00+00:00
2026-06-23T20:34:13.407892+00:00 WRITE_SPLIT: Writing split proposed orders: BUY EURGBP 3.25 as 4 capped chunks; mode=live; export=2026-06-23T20:33:51+00:00; candle=2026-06-23T20:25:00+00:00
2026-06-23T20:34:43.485522+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:25:00+00:00; mode=live; export=2026-06-23T20:34:21+00:00; candle=2026-06-23T20:25:00+00:00
2026-06-23T20:35:13.561859+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:25:00+00:00; mode=live; export=2026-06-23T20:34:51+00:00; candle=2026-06-23T20:25:00+00:00
2026-06-23T20:35:43.637214+00:00 HOLD: No meaningful orders after tiny-churn filter; mode=live; export=2026-06-23T20:35:21+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:36:13.716197+00:00 WRITE_SPLIT: Writing split proposed orders: BUY EURGBP 3.25 as 4 capped chunks; mode=live; export=2026-06-23T20:35:51+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:38:44.924421+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:30:00+00:00; mode=live; export=2026-06-23T20:38:21+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:39:15.001552+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:30:00+00:00; mode=live; export=2026-06-23T20:38:51+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:39:37.185891+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:30:00+00:00; mode=live; export=2026-06-23T20:39:21+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:39:45.049929+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:30:00+00:00; mode=live; export=2026-06-23T20:39:21+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:40:07.264828+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:30:00+00:00; mode=live; export=2026-06-23T20:39:51+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:40:15.111700+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:30:00+00:00; mode=live; export=2026-06-23T20:39:51+00:00; candle=2026-06-23T20:30:00+00:00
2026-06-23T20:40:37.338105+00:00 WRITE_SPLIT: Writing split proposed orders: SELL USDJPY 6.59 as 7 capped chunks; mode=live; export=2026-06-23T20:40:21+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:40:45.189399+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:40:21+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:41:07.414814+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:40:51+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:41:15.266922+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:40:51+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:41:37.491813+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:41:21+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:41:45.345157+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:41:21+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:42:07.567964+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:41:51+00:00; candle=2026-06-23T20:35:00+00:00
